spike_id	wrapper_family	required_signature_or_expression	category	current_status	disposition	evidence	implementation_file	test_id
COMPLEX-DOUBLE	mpfrxx::mpc_class	explicit construction from std::complex<double>	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-DOUBLE	include/gmpfrxx_mkII/detail/mpc_impl.hpp	test_complex_compare_adapters
COMPLEX-DD	mpfrxx::mpc_class	explicit construction from dd_complex	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-DD	include/gmpfrxx_mkII/adapters/dd_complex.hpp	test_complex_compare_adapters
COMPLEX-QD	mpfrxx::mpc_class	explicit construction from qd_complex	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-QD	include/gmpfrxx_mkII/adapters/qd_complex.hpp	test_complex_compare_adapters
COMPLEX-BINARY80	mpfrxx::mpc_class	explicit construction from std::complex<mplapack_binary80_t>	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-BINARY80	include/gmpfrxx_mkII/adapters/binary80_complex.hpp	test_complex_compare_adapters
COMPLEX-BINARY128	mpfrxx::mpc_class	explicit construction from std::complex<mplapack_binary128_t>	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-BINARY128	include/gmpfrxx_mkII/adapters/binary128_complex.hpp	test_complex_compare_adapters
COMPLEX-GMP	mpfrxx::mpc_class	explicit construction from gmpxx::mpfc_class	NOT_REQUIRED	ACCEPTED_P2B	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-GMP	include/gmpfrxx_mkII/adapters/mpfc_complex.hpp	test_complex_compare_adapters
REVERSE-GMP-REAL	interop	reverse MPFR to GMP MPF conversion	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv REVERSE-GMP-REAL	none	forbidden-matrix-gate
REVERSE-GMP-COMPLEX	interop	reverse MPC to GMP MPFC conversion	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv REVERSE-GMP-COMPLEX	none	forbidden-matrix-gate
REVERSE-OTHER-REAL	interop	reverse MPFR to external real conversion	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv REVERSE-OTHER-REAL	none	forbidden-matrix-gate
REVERSE-OTHER-COMPLEX	interop	reverse MPC to external complex conversion	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv REVERSE-OTHER-COMPLEX	none	forbidden-matrix-gate
MIXED-ARITHMETIC	interop	cross-backend adapter arithmetic	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv MIXED-ARITHMETIC	none	forbidden-matrix-gate
BOTH-OPERAND-ORDERS	interop	adapter arithmetic in both operand orders	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv BOTH-OPERAND-ORDERS	none	forbidden-matrix-gate
COMPOUND-ASSIGN	interop	compound assignment with adapter operands	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv COMPOUND-ASSIGN	none	forbidden-matrix-gate
EXPR-COMPOSITION	interop	adapter expression-template composition	NOT_REQUIRED	FORBIDDEN	OUT_OF_SCOPE	interop_requirements.tsv EXPR-COMPOSITION	none	forbidden-matrix-gate
REAL-EDD	interop	edd real adapter support	NOT_REQUIRED	OUT_OF_SCOPE	OUT_OF_SCOPE	interop_requirements.tsv REAL-EDD	none	out-of-scope-gate
COMPLEX-EDD	interop	edd complex adapter support	NOT_REQUIRED	OUT_OF_SCOPE	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-EDD	none	out-of-scope-gate
REAL-TD	interop	td real adapter support	NOT_REQUIRED	OUT_OF_SCOPE	OUT_OF_SCOPE	interop_requirements.tsv REAL-TD	none	out-of-scope-gate
COMPLEX-TD	interop	td complex adapter support	NOT_REQUIRED	OUT_OF_SCOPE	OUT_OF_SCOPE	interop_requirements.tsv COMPLEX-TD	none	out-of-scope-gate
PROTOTYPE-REVERSE-CAST2	interop	historical reverse cast2 helpers	NOT_REQUIRED	NOT_USED	OUT_OF_SCOPE	interop_requirements.tsv PROTOTYPE-REVERSE-CAST2	none	prototype-history-gate
PROTOTYPE-ROUNDTRIP	interop	historical round-trip identity	NOT_REQUIRED	NOT_USED	OUT_OF_SCOPE	interop_requirements.tsv PROTOTYPE-ROUNDTRIP	none	prototype-history-gate
PROTOTYPE-PRECISION-SWEEP	interop	historical precision sweep	NOT_REQUIRED	NOT_USED	OUT_OF_SCOPE	interop_requirements.tsv PROTOTYPE-PRECISION-SWEEP	none	prototype-history-gate
